u	v	shared_kmers	jaccard	species_u	species_v
GCF_000005845.2_ASM584v2|NP_416917.1	GCF_000006765.1_ASM676v1|NP_249017.1	10	0.014409	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416917.1	GCF_000006765.1_ASM676v1|NP_251019.1	10	0.016051	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416917.1	GCF_000006765.1_ASM676v1|NP_251944.1	10	0.014793	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416917.1	GCF_000006765.1_ASM676v1|NP_251040.1	8	0.011173	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416919.1	GCF_000006765.1_ASM676v1|NP_248973.1	15	0.028626	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416920.1	GCF_000006765.1_ASM676v1|NP_248974.1	9	0.013825	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416920.1	GCF_000006765.1_ASM676v1|NP_250184.1	7	0.010720	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416931.1	GCF_000006765.1_ASM676v1|NP_248714.1	49	0.089908	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416936.4	GCF_000006765.1_ASM676v1|NP_252713.1	27	0.030682	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416948.4	GCF_000006765.1_ASM676v1|NP_253873.1	6	0.007833	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416958.1	GCF_000006765.1_ASM676v1|NP_253733.1	60	0.054005	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416959.1	GCF_000006765.1_ASM676v1|NP_251486.1	45	0.079225	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416960.1	GCF_000006765.1_ASM676v1|NP_249239.1	104	0.085386	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416963.1	GCF_000006765.1_ASM676v1|NP_253722.1	50	0.046468	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416964.1	GCF_000006765.1_ASM676v1|NP_252567.1	17	0.014655	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_249117.1	143	0.074093	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_250708.1	40	0.019685	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_253288.1	34	0.016699	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_252212.1	28	0.013645	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_251184.1	18	0.008691	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_253065.1	12	0.005903	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_251216.1	11	0.005361	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416965.1	GCF_000006765.1_ASM676v1|NP_252896.1	11	0.005379	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416967.1	GCF_000006765.1_ASM676v1|NP_249853.1	50	0.071633	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416970.1	GCF_000006765.1_ASM676v1|NP_253405.1	27	0.049360	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416971.1	GCF_000006765.1_ASM676v1|NP_249704.1	41	0.097156	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416973.1	GCF_000006765.1_ASM676v1|NP_249701.1	28	0.051282	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_249788.1	24	0.021314	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_251049.1	21	0.021000	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_250635.1	20	0.018484	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_253414.1	20	0.017889	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_251044.1	20	0.019685	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_254170.1	19	0.017431	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_250354.1	17	0.014834	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_254198.1	17	0.015596	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_250026.1	16	0.014967	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416986.4	GCF_000006765.1_ASM676v1|NP_250695.1	16	0.014222	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416988.1	GCF_000006765.1_ASM676v1|NP_249698.1	26	0.038576	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416991.2	GCF_000006765.1_ASM676v1|NP_249638.1	9	0.020089	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416993.2	GCF_000006765.1_ASM676v1|NP_253335.1	42	0.114130	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416994.1	GCF_000006765.1_ASM676v1|NP_249636.1	83	0.137190	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416995.1	GCF_000006765.1_ASM676v1|NP_249635.1	20	0.049505	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416996.1	GCF_000006765.1_ASM676v1|NP_253929.1	12	0.008559	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416997.1	GCF_000006765.1_ASM676v1|NP_253928.1	12	0.012036	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_416998.1	GCF_000006765.1_ASM676v1|NP_252514.1	6	0.004773	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417002.1	GCF_000006765.1_ASM676v1|NP_252458.1	112	0.120690	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417003.1	GCF_000006765.1_ASM676v1|NP_252459.1	77	0.086517	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417004.1	GCF_000006765.1_ASM676v1|NP_252466.1	16	0.017998	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417006.2	GCF_000006765.1_ASM676v1|NP_252488.1	34	0.036638	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417006.2	GCF_000006765.1_ASM676v1|NP_249462.1	8	0.010376	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417009.1	GCF_000006765.1_ASM676v1|NP_252491.1	35	0.043317	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417010.1	GCF_000006765.1_ASM676v1|NP_252492.1	102	0.161648	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417012.1	GCF_000006765.1_ASM676v1|NP_252495.1	40	0.056101	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417013.1	GCF_000006765.1_ASM676v1|NP_252496.1	7	0.026022	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417018.4	GCF_000006765.1_ASM676v1|NP_252520.1	10	0.011086	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417020.1	GCF_000006765.1_ASM676v1|NP_252498.1	39	0.224138	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417021.1	GCF_000006765.1_ASM676v1|NP_252499.1	118	0.106594	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417021.1	GCF_000006765.1_ASM676v1|NP_253449.1	16	0.013040	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417021.1	GCF_000006765.1_ASM676v1|NP_250992.1	7	0.002574	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417023.1	GCF_000006765.1_ASM676v1|NP_252501.1	12	0.062500	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417024.1	GCF_000006765.1_ASM676v1|NP_252502.1	39	0.188406	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417026.1	GCF_000006765.1_ASM676v1|NP_252504.1	29	0.101399	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417027.1	GCF_000006765.1_ASM676v1|NP_252506.1	13	0.027083	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417028.1	GCF_000006765.1_ASM676v1|NP_252507.1	18	0.035294	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417032.1	GCF_000006765.1_ASM676v1|NP_251200.1	9	0.015873	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417042.1	GCF_000006765.1_ASM676v1|NP_250637.1	14	0.014156	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417042.1	GCF_000006765.1_ASM676v1|NP_250567.1	6	0.004959	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417042.1	GCF_000006765.1_ASM676v1|NP_253394.1	6	0.008086	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417042.1	GCF_000006765.1_ASM676v1|NP_253939.1	6	0.005376	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417046.1	GCF_000006765.1_ASM676v1|NP_253292.1	103	0.142857	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417046.1	GCF_000006765.1_ASM676v1|NP_254102.1	89	0.121088	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417046.1	GCF_000006765.1_ASM676v1|NP_251134.1	81	0.108871	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417048.1	GCF_000006765.1_ASM676v1|NP_253975.1	38	0.215909	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_249788.1	27	0.030100	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_251044.1	22	0.027919	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_252710.1	19	0.017958	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_250635.1	18	0.020979	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_253414.1	17	0.018994	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_250695.1	16	0.017798	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_253812.1	16	0.017897	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_250354.1	15	0.016269	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_252836.1	15	0.014368	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417049.1	GCF_000006765.1_ASM676v1|NP_251049.1	15	0.019231	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417053.2	GCF_000006765.1_ASM676v1|NP_252453.1	7	0.007345	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417054.2	GCF_000006765.1_ASM676v1|NP_252456.1	8	0.024169	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417059.1	GCF_000006765.1_ASM676v1|NP_249464.1	30	0.066519	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417061.1	GCF_000006765.1_ASM676v1|NP_249462.1	32	0.056738	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417061.1	GCF_000006765.1_ASM676v1|NP_252488.1	6	0.007762	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417062.1	GCF_000006765.1_ASM676v1|NP_249461.1	22	0.052009	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417063.1	GCF_000006765.1_ASM676v1|NP_249459.1	14	0.023973	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417064.1	GCF_000006765.1_ASM676v1|NP_249458.1	180	0.178571	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417068.1	GCF_000006765.1_ASM676v1|NP_249453.1	31	0.090379	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417069.1	GCF_000006765.1_ASM676v1|NP_249452.1	89	0.090909	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417069.1	GCF_000006765.1_ASM676v1|NP_250274.1	6	0.005386	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_252156.1	23	0.026838	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_249146.1	18	0.020595	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_252550.3	17	0.020885	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_252639.1	17	0.019676	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_249119.1	14	0.013220	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417071.1	GCF_000006765.1_ASM676v1|NP_251530.1	9	0.009073	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417075.1	GCF_000006765.1_ASM676v1|NP_249441.1	19	0.044084	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417078.4	GCF_000006765.1_ASM676v1|NP_252296.1	8	0.017699	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417081.2	GCF_000006765.1_ASM676v1|NP_249179.1	7	0.035714	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417082.1	GCF_000006765.1_ASM676v1|NP_248920.1	92	0.120735	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417082.1	GCF_000006765.1_ASM676v1|NP_254217.1	35	0.042579	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_253232.1	236	0.161202	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_249150.1	75	0.046239	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_250353.1	31	0.018311	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_251061.1	27	0.016177	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_248780.1	21	0.012153	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_251310.1	13	0.008166	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_252055.1	10	0.008278	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417083.1	GCF_000006765.1_ASM676v1|NP_251415.1	9	0.006143	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417084.1	GCF_000006765.1_ASM676v1|NP_253233.1	24	0.053215	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417085.1	GCF_000006765.1_ASM676v1|NP_253234.1	35	0.058236	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417092.1	GCF_000006765.1_ASM676v1|NP_250441.1	50	0.076453	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417092.1	GCF_000006765.1_ASM676v1|NP_251633.1	21	0.030479	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417095.1	GCF_000006765.1_ASM676v1|NP_249538.1	7	0.006217	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417097.1	GCF_000006765.1_ASM676v1|NP_252431.1	21	0.105000	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417098.1	GCF_000006765.1_ASM676v1|NP_252432.1	40	0.087527	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417101.1	GCF_000006765.1_ASM676v1|NP_252435.1	115	0.146497	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417104.1	GCF_000006765.1_ASM676v1|NP_253450.1	6	0.016349	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417105.1	GCF_000006765.1_ASM676v1|NP_251778.1	11	0.019435	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417108.4	GCF_000006765.1_ASM676v1|NP_253454.1	9	0.050562	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417110.1	GCF_000006765.1_ASM676v1|NP_253456.1	10	0.033445	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417147.1	GCF_000006765.1_ASM676v1|NP_248956.1	164	0.207332	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417147.1	GCF_000006765.1_ASM676v1|NP_252878.1	7	0.007284	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417148.1	GCF_000006765.1_ASM676v1|NP_248957.1	88	0.116711	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417149.1	GCF_000006765.1_ASM676v1|NP_248819.1	58	0.066438	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417151.1	GCF_000006765.1_ASM676v1|NP_253865.1	18	0.067669	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417152.1	GCF_000006765.1_ASM676v1|NP_249258.1	8	0.093023	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417163.1	GCF_000006765.1_ASM676v1|NP_253781.1	33	0.052133	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417163.1	GCF_000006765.1_ASM676v1|NP_254063.1	19	0.024902	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417164.1	GCF_000006765.1_ASM676v1|NP_253782.1	7	0.011290	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417170.1	GCF_000006765.1_ASM676v1|NP_253846.1	23	0.030626	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417171.1	GCF_000006765.1_ASM676v1|NP_253847.1	24	0.024316	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417173.1	GCF_000006765.1_ASM676v1|NP_253890.1	17	0.016699	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417176.1	GCF_000006765.1_ASM676v1|NP_249596.1	32	0.400000	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417177.1	GCF_000006765.1_ASM676v1|NP_249594.1	172	0.109694	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417179.1	GCF_000006765.1_ASM676v1|NP_252307.1	88	0.146423	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417180.1	GCF_000006765.1_ASM676v1|NP_252308.1	12	0.038585	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417181.1	GCF_000006765.1_ASM676v1|NP_253134.1	70	0.108025	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417181.1	GCF_000006765.1_ASM676v1|NP_252690.1	6	0.008759	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417188.4	GCF_000006765.1_ASM676v1|NP_253147.1	17	0.027419	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_251355.1	28	0.028484	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_251139.1	19	0.019270	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_251044.1	18	0.021127	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_253414.1	17	0.017801	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_251049.1	17	0.020286	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_250695.1	16	0.016684	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_250635.1	16	0.017391	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_250354.1	14	0.014242	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_254170.1	13	0.013978	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417189.2	GCF_000006765.1_ASM676v1|NP_249788.1	13	0.013388	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417199.1	GCF_000006765.1_ASM676v1|NP_251328.1	6	0.012931	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_250026.1	21	0.019337	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_251355.1	17	0.014382	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_253414.1	16	0.013986	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_249788.1	15	0.012965	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_249887.1	15	0.013239	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_250695.1	15	0.013066	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_251044.1	14	0.013410	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_253237.1	13	0.011670	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_254170.1	12	0.010724	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417211.1	GCF_000006765.1_ASM676v1|NP_249790.1	10	0.008734	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417213.1	GCF_000006765.1_ASM676v1|NP_252310.1	95	0.059264	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417219.1	GCF_000006765.1_ASM676v1|NP_249241.1	15	0.030120	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417219.1	GCF_000006765.1_ASM676v1|NP_250192.1	7	0.013972	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417221.1	GCF_000006765.1_ASM676v1|NP_252312.1	83	0.145359	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417221.1	GCF_000006765.1_ASM676v1|NP_249267.1	6	0.006445	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417223.1	GCF_000006765.1_ASM676v1|NP_252314.1	13	0.032828	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417224.1	GCF_000006765.1_ASM676v1|NP_252315.1	11	0.022869	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417226.1	GCF_000006765.1_ASM676v1|NP_252317.1	23	0.081272	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417227.1	GCF_000006765.1_ASM676v1|NP_252323.1	10	0.022222	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417230.1	GCF_000006765.1_ASM676v1|NP_250084.1	9	0.023810	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_417231.1	GCF_000006765.1_ASM676v1|NP_253132.1	76	0.074364	Escherichia coli	Pseudomonas aeruginosa
